"external_urls__spotify","followers__href","followers__total","genres__001","genres__002","genres__003","genres__004","genres__005","href","id","images__height","images__url","images__width","name","popularity","type","uri","genres__006","genres__007","genres__008","genres__009","genres__010","genres__011","genres__012","genres__013","genres__014","genres__015","genres__016","genres__017","genres__018","genres__019"
"","","","","","","","","","","200","https://i.scdn.co/image/3c14d3a5bf0dbc50595b6d5001633aae9d9e2b5f","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","64","https://i.scdn.co/image/ad65acde29d51f7f62a9307815d5b9029be3bb64","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF","null","281277","bass music","classic dubstep","electronica","future garage","hauntology","https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF","0uCCBpmg6MrPb1KY2msceF","504","https://i.scdn.co/image/e8e7ac38910768ed522981fbbfcc46baba7b0c12","703","Burial","53","artist","spotify:artist:0uCCBpmg6MrPb1KY2msceF","intelligent dance music","microhouse","wonky","","","","","","","","","","",""
"","","","","","","","","","","459","https://i.scdn.co/image/70180155163bd7b14dd3f69905de214433297ef8","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","143","https://i.scdn.co/image/867560cdb26864f71fdc47cde5e635bd37d81a0d","199","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","46","https://i.scdn.co/image/e515df2f4ff4ce3abd23dd26dd34333fc1d030e7","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/1DGpHnPOpMYY780hcQHmPB","null","33679","ambient","art pop","fourth world","j-ambient","","https://api.spotify.com/v1/artists/1DGpHnPOpMYY780hcQHmPB","1DGpHnPOpMYY780hcQHmPB","640","https://i.scdn.co/image/e4584af9a86555365e442291714e6b0658bb847d","640","Hiroshi Yoshimura","47","artist","spotify:artist:1DGpHnPOpMYY780hcQHmPB","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/c9413bb912f581892fdf527a3cf7e40b729e4a00","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/b687bce989fb34ae4f03fe03ff2184c18c8baa74","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu","null","1283518","alternative hip hop","escape room","experimental hip hop","hip hop","rap","https://api.spotify.com/v1/artists/3A5tHz1SfngyOZM2gItYKu","3A5tHz1SfngyOZM2gItYKu","640","https://i.scdn.co/image/df0ce0e119e1d5006ea986e27414256d85c08c50","640","Earl Sweatshirt","71","artist","spotify:artist:3A5tHz1SfngyOZM2gItYKu","underground hip hop","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/df9c31c52769c0c50a73b2f45fc3ae915c16f123","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/7b6c5928874f14af0ddf28de5ec6c376ef00e938","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/6WH1V41LwGDGmlPUhSZLHO","null","131910","abstract","ambient","ambient techno","art pop","bass music","https://api.spotify.com/v1/artists/6WH1V41LwGDGmlPUhSZLHO","6WH1V41LwGDGmlPUhSZLHO","640","https://i.scdn.co/image/4498e58c0d7726ad42312dd3b04109712818d42d","640","Autechre","47","artist","spotify:artist:6WH1V41LwGDGmlPUhSZLHO","deep idm","drill and bass","electro","electronica","experimental","glitch","intelligent dance music","microhouse","ninja","outsider house","techno","uk experimental electronic","",""
"","","","","","","","","","","320","https://i.scdn.co/image/bf21759df30601eda64c14c72fdbe726c62f18a1","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/87a39d3a9e5f20e7661429547d41fc1475e60776","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/4T2RgpFayjiBOoZ3i4tAUR","null","5634","polish alternative rap","","","","","https://api.spotify.com/v1/artists/4T2RgpFayjiBOoZ3i4tAUR","4T2RgpFayjiBOoZ3i4tAUR","640","https://i.scdn.co/image/0152d8b72000c94d5b2efcbe4b9830fbc634e917","640","Syny","32","artist","spotify:artist:4T2RgpFayjiBOoZ3i4tAUR","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/dc337c66d97fc436959db0f19b8f89c787a19768","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/8fe163a1227b5e3f597cb07d03b8803c82301fe6","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/5RADpgYLOuS2ZxDq7ggYYH","null","503955","alternative hip hop","escape room","experimental hip hop","hip hop","industrial hip hop","https://api.spotify.com/v1/artists/5RADpgYLOuS2ZxDq7ggYYH","5RADpgYLOuS2ZxDq7ggYYH","750","https://i.scdn.co/image/b4421731b1edda8b8cc56bd74059305e3d3d3baf","750","Death Grips","64","artist","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","","","","","","","","","","","","","",""
"","","","","","","","","","","640","https://i.scdn.co/image/6cf74eae3b622bdd8c8cbcb944a0cbb5abc1f337","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","200","https://i.scdn.co/image/44e99eba7959eb2855af390113e7f91ec5fb6280","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","64","https://i.scdn.co/image/c273232d77a9aa0d880e99e690021c2ed153f0f3","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/4frXpPxQQZwbCu3eTGnZEw","null","578876","afrofuturism","hip hop","","","","https://api.spotify.com/v1/artists/4frXpPxQQZwbCu3eTGnZEw","4frXpPxQQZwbCu3eTGnZEw","640","https://i.scdn.co/image/2de0565d544c3cbdd2517b724930bb0dcee6a1c8","640","Thundercat","72","artist","spotify:artist:4frXpPxQQZwbCu3eTGnZEw","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/871a3437240ff355903f11e577dd44ff16c005b8","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/6902f8964faf82a934d03c0cb6dfb113397780a1","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/2DoQBgPsB9AdmWpIa2hUSz","null","42365","ambient","art pop","compositional ambient","drone","electroacoustic improvisation","https://api.spotify.com/v1/artists/2DoQBgPsB9AdmWpIa2hUSz","2DoQBgPsB9AdmWpIa2hUSz","640","https://i.scdn.co/image/6f813b29bbcf1b2a48794ede042c2d3ffe40cd8f","640","Fennesz","40","artist","spotify:artist:2DoQBgPsB9AdmWpIa2hUSz","experimental","experimental guitar","fourth world","freak folk","glitch","intelligent dance music","mandible","microhouse","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/8aeede7249e351ef99b8dbfb1edbd67eccb72225","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/856f69a8a6925c65cba639b302781f3f389ec543","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu","null","170034","art pop","dance pop","deconstructed club","electropop","escape room","https://api.spotify.com/v1/artists/5a2w2tgpLwv26BYJf2qYwu","5a2w2tgpLwv26BYJf2qYwu","640","https://i.scdn.co/image/ced106b1ff9bb908a468b23c694b33d676c12281","640","SOPHIE","56","artist","spotify:artist:5a2w2tgpLwv26BYJf2qYwu","hyperpop","transpop","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/c9bfafeed2f77187b6c6b65023e6489056313cb7","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/92227fefe3bb4803ce85231c8116f0a7b0d27c81","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/3ND5NWoKzlelYDDyWqSQpQ","null","50312","abstract","ambient","art pop","compositional ambient","drone","https://api.spotify.com/v1/artists/3ND5NWoKzlelYDDyWqSQpQ","3ND5NWoKzlelYDDyWqSQpQ","500","https://i.scdn.co/image/f39230585c8556eb40b2275b31f4b821c0d92953","500","Susumu Yokota","48","artist","spotify:artist:3ND5NWoKzlelYDDyWqSQpQ","dub techno","electronica","fourth world","intelligent dance music","j-ambient","japanese electronic","japanese idm","microhouse","minimal techno","","","","",""
"","","","","","","","","","","200","https://i.scdn.co/image/a3f1274f864d09e97e5da1be9cb5725bb969c31f","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","64","https://i.scdn.co/image/5c2f49e6c95ca704b96c2c270f153a5b3d9c7fd2","64","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/1tcgfoMTT1szjUeaikxRjA","null","433659","anime score","compositional ambient","japanese classical","japanese soundtrack","","https://api.spotify.com/v1/artists/1tcgfoMTT1szjUeaikxRjA","1tcgfoMTT1szjUeaikxRjA","640","https://i.scdn.co/image/122ba95a84dea6a5a3500ca594debd838c85336e","640","Ryuichi Sakamoto","62","artist","spotify:artist:1tcgfoMTT1szjUeaikxRjA","","","","","","","","","","","","","",""
"","","","","","","","","","","320","https://i.scdn.co/image/0dee8428efb19650d9f1e2423e1743d93b9edf6d","320","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","160","https://i.scdn.co/image/bd7d77da0eaee33d2eaeda9d9a3e3183334ab309","160","","","","","","","","","","","","","","","","","",""
"https://open.spotify.com/artist/6u5axd0rpDsWSmzhFfb2VB","null","65174","ambient","art pop","compositional ambient","drift","drone","https://api.spotify.com/v1/artists/6u5axd0rpDsWSmzhFfb2VB","6u5axd0rpDsWSmzhFfb2VB","881","https://i.scdn.co/image/cffeb6989c23e31f5dd28a929a6a347e74b4c09c","1000","William Basinski","46","artist","spotify:artist:6u5axd0rpDsWSmzhFfb2VB","experimental","fourth world","hauntology","intelligent dance music","microhouse","sound art","","","","","","","",""
"","","","","","","","","","","564","https://i.scdn.co/image/31790af1a6e9755fb1ad10ba6c7fe2106a702dd3","640","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","176","https://i.scdn.co/image/4256542bcaf3c9c4337883da9f71c9c37284c51e","200","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","56","https://i.scdn.co/image/beb7ba7a8f10c7fc8086d66bf526de2a53821366","64","","","","","","","","","","","","","","","","","",""
